Date,ActiveInstallations,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,,,,,
6/14/2024,"2,334","184,997,983","45,976,310","65,054,868",4.0,"21,040","37,452","10,115","27,337",,,,,
6/15/2024,"2,274","159,298,967","39,380,681","54,294,767",4.0,"18,118","32,249","8,664","23,586",,,,,
6/16/2024,"2,411","154,637,943","37,812,075","59,646,985",4.1,"17,587","31,306","8,319","22,987",,,,,
6/17/2024,"1,351","135,684,144","34,436,499","54,187,367",3.9,"15,432","27,469","7,576","19,893",,,,,
6/18/2024,839,"147,892,991","37,797,519","63,808,704",3.9,"16,820","29,940","8,315","21,625",,,,,
6/19/2024,955,"172,906,048","44,365,063","74,846,156",3.9,"19,665","35,004","9,760","25,244",,,,,
6/20/2024,836,"115,053,191","29,502,909","48,261,910",3.9,"13,085","23,292","6,491","16,801",,,,,
6/21/2024,621,"171,228,030","44,104,004","74,904,809",3.9,"19,474","34,664","9,703","24,961",,,,,
6/22/2024,759,"136,754,699","35,158,301","51,360,877",3.9,"15,554","27,685","7,735","19,951",,,,,
6/23/2024,315,"85,598,193","22,117,436","38,476,007",3.9,"9,735","17,329","4,866","12,463",,,,,
6/24/2024,147,"166,864,873","43,434,192","74,323,935",3.8,"18,978","33,781","9,556","24,225",,,,,
6/25/2024,71,"156,733,775","41,030,664","60,725,450",3.8,"17,826","31,730","9,027","22,703",,,,,
6/26/2024,57,"168,866,530","43,851,142","74,589,011",3.9,"19,206","34,186","9,647","24,539",,,,,
6/27/2024,49,"178,144,865","46,734,768","64,253,242",3.8,"20,261","36,065","10,282","25,783",,,,,
6/28/2024,66,"136,837,166","35,985,265","45,773,743",3.8,"15,563","27,702","7,917","19,785",,,,,
6/29/2024,75,"141,547,518","37,093,818","52,351,911",3.8,"16,099","28,656","8,161","20,495",,,,,
6/30/2024,57,"167,868,438","43,988,170","62,871,097",3.8,"19,092","33,984","9,677","24,307",,,,,
7/1/2024,137,"146,741,975","38,330,083","59,119,290",3.8,"16,689","29,707","8,433","21,275",,,,,
7/2/2024,249,"137,128,295","35,649,115","57,567,115",3.8,"15,596","27,761","7,843","19,918",,,,,
7/3/2024,761,"175,103,409","45,200,731","62,884,340",3.9,"19,915","35,449","9,944","25,505",,,,,
7/4/2024,658,"140,800,073","36,245,995","57,532,113",3.9,"16,014","28,504","7,974","20,530",,,,,
7/5/2024,686,"152,291,277","39,146,238","59,645,882",3.9,"17,321","30,831","8,612","22,218",,,,,
7/6/2024,526,"118,962,411","30,789,904","42,664,392",3.9,"13,530","24,083","6,774","17,310",,,,,
7/7/2024,857,"112,564,738","28,686,664","41,523,710",3.9,"12,802","22,788","6,311","16,477",,,,,
7/8/2024,723,"114,389,001","29,319,296","47,914,406",3.9,"13,010","23,158","6,450","16,707",,,,,
7/9/2024,114,"79,663,307","20,738,538","30,937,120",3.8,"9,060","16,127","4,562","11,565",,,,,
