timestamp,installationId,hpHeat
2023-12-18 06:00:09,1228,1424838
2023-12-18 07:00:12,1228,1429716
2023-12-18 08:00:00,1228,1434569
2023-12-18 09:00:02,1228,1439439
2023-12-18 10:00:05,1228,1444274
2023-12-18 11:00:08,1228,1448897
2023-12-18 12:00:10,1228,1453300
2023-12-18 13:00:13,1228,1455709
2023-12-18 14:00:01,1228,1455709
2023-12-18 15:00:04,1228,1455709
2023-12-18 16:00:07,1228,1455709
2023-12-18 17:00:10,1228,1455709
2023-12-18 18:00:13,1228,1455709
2023-12-18 19:00:01,1228,1455709
2023-12-18 20:00:04,1228,1455709
2023-12-18 21:00:07,1228,1455709
2023-12-18 22:00:10,1228,1455709
2023-12-18 23:00:13,1228,1455709
2023-12-19 00:00:01,1228,1455709
2023-12-19 01:00:04,1228,1455709
2023-12-19 02:00:07,1228,1455709
2023-12-19 03:00:10,1228,1455709
2023-12-19 04:00:13,1228,1455709
2023-12-19 05:00:00,1228,1455709
2023-12-19 06:00:03,1228,1455709
2023-12-19 07:00:06,1228,1455878
2023-12-19 08:00:09,1228,1458795
2023-12-19 09:00:12,1228,1462237
2023-12-19 10:00:14,1228,1466050
2023-12-19 11:00:02,1228,1470311
2023-12-19 12:00:05,1228,1475150
2023-12-19 13:00:07,1228,1480412
2023-12-19 14:00:10,1228,1486032
2023-12-19 15:00:13,1228,1491909
2023-12-19 16:00:01,1228,1497984
2023-12-19 17:00:03,1228,1504315
2023-12-19 18:00:06,1228,1510870
2023-12-19 19:00:09,1228,1517231
2023-12-19 20:00:11,1228,1520877
2023-12-19 21:00:14,1228,1520877
2023-12-19 22:00:02,1228,1520877
2023-12-19 23:00:05,1228,1520877
2023-12-20 00:00:08,1228,1520877
2023-12-20 01:00:11,1228,1520877
2023-12-20 02:00:14,1228,1520877
2023-12-20 03:00:02,1228,1520877
2023-12-20 04:00:05,1228,1520877
2023-12-20 05:00:08,1228,1522764
2023-12-20 06:00:10,1228,1526946
2023-12-20 07:00:13,1228,1531549
2023-12-20 08:00:01,1228,1536047
2023-12-20 09:00:03,1228,1540940
2023-12-20 10:00:06,1228,1545965
2023-12-20 11:00:09,1228,1551037
2023-12-20 12:00:12,1228,1556053
2023-12-20 13:00:14,1228,1561028
2023-12-20 14:00:02,1228,1566032
2023-12-20 15:00:05,1228,1570974
2023-12-20 16:00:07,1228,1575478
2023-12-20 17:00:10,1228,1580136
2023-12-20 18:00:13,1228,1585188
2023-12-20 19:00:00,1228,1589798
2023-12-20 20:00:03,1228,1591023
2023-12-20 21:00:06,1228,1591023
2023-12-20 22:00:09,1228,1591023
2023-12-20 23:00:12,1228,1591023
2023-12-21 00:00:00,1228,1591023
2023-12-21 01:00:03,1228,1591023
2023-12-21 02:00:06,1228,1591023
2023-12-21 03:00:08,1228,1591023
2023-12-21 04:00:11,1228,1591023
2023-12-21 05:00:14,1228,1591023
2023-12-21 06:00:02,1228,1591023
2023-12-21 07:00:05,1228,1591023
2023-12-21 08:00:08,1228,1591023
2023-12-21 09:00:11,1228,1591023
2023-12-21 10:00:14,1228,1591023
2023-12-21 11:00:02,1228,1591023
2023-12-21 12:00:05,1228,1591023
2023-12-21 13:00:07,1228,1591023
2023-12-21 14:00:10,1228,1591023
2023-12-21 15:00:13,1228,1592573
2023-12-21 16:00:01,1228,1594797
2023-12-21 17:00:04,1228,1597389
2023-12-21 18:00:08,1228,1599912
2023-12-21 19:00:11,1228,1604689
2023-12-21 20:00:14,1228,1609836
2023-12-21 21:00:03,1228,1615148
2023-12-21 22:00:06,1228,1620886
2023-12-21 23:00:09,1228,1627614
2023-12-22 00:00:12,1228,1634552
2023-12-22 01:00:01,1228,1641482
2023-12-22 02:00:04,1228,1649005
2023-12-22 03:00:07,1228,1656552
2023-12-22 04:00:11,1228,1664171
2023-12-22 05:00:14,1228,1671423
2023-12-22 06:00:02,1228,1678568
2023-12-22 07:00:05,1228,1685057
2023-12-22 08:00:09,1228,1691662
2023-12-22 09:00:12,1228,1698223
2023-12-22 10:00:00,1228,1704610
2023-12-22 11:00:04,1228,1711101
2023-12-22 12:00:07,1228,1717223
2023-12-22 13:00:10,1228,1722838
2023-12-22 14:00:14,1228,1723462
2023-12-22 15:00:02,1228,1723462
2023-12-22 16:00:05,1228,1723462
2023-12-22 17:00:09,1228,1723462
2023-12-22 18:00:12,1228,1723462
2023-12-22 19:00:01,1228,1723462
2023-12-22 20:00:04,1228,1723462
2023-12-22 21:00:07,1228,1723462
2023-12-22 22:00:11,1228,1723462
2023-12-22 23:00:14,1228,1723462
2023-12-23 00:00:02,1228,1723462
2023-12-23 01:00:06,1228,1723462
2023-12-23 02:00:09,1228,1723462
2023-12-23 03:00:13,1228,1723462
2023-12-23 04:00:01,1228,1723462
2023-12-23 05:00:05,1228,1723462
2023-12-23 06:00:08,1228,1723462
2023-12-23 07:00:11,1228,1725733
2023-12-23 08:00:00,1228,1729020
2023-12-23 09:00:03,1228,1731709
2023-12-23 10:00:06,1228,1734407
2023-12-23 11:00:10,1228,1737109
2023-12-23 12:00:13,1228,1739866
2023-12-23 13:00:05,1228,1742038
2023-12-23 14:00:09,1228,1742038
2023-12-23 15:00:12,1228,1742038
2023-12-23 16:00:00,1228,1742038
2023-12-23 17:00:04,1228,1742038
2023-12-23 18:00:07,1228,1742038
2023-12-23 19:00:11,1228,1742038
2023-12-23 20:00:14,1228,1742038
2023-12-23 21:00:03,1228,1742038
2023-12-23 22:00:06,1228,1742038
2023-12-23 23:00:09,1228,1742038
2023-12-24 00:00:13,1228,1742038
2023-12-24 01:00:01,1228,1742038
2023-12-24 02:00:05,1228,1742038
2023-12-24 03:00:08,1228,1742038
2023-12-24 04:00:11,1228,1742038
2023-12-24 05:00:00,1228,1742038
2023-12-24 06:00:03,1228,1742038
2023-12-24 07:00:07,1228,1742038
2023-12-24 08:00:10,1228,1742038
2023-12-24 09:00:14,1228,1742038
2023-12-24 10:00:02,1228,1742038
2023-12-24 11:00:05,1228,1742038
2023-12-24 12:00:09,1228,1742038
2023-12-24 13:00:12,1228,1742038
2023-12-24 14:00:01,1228,1742038
2023-12-24 15:00:04,1228,1742038
2023-12-24 16:00:07,1228,1742038
2023-12-24 17:00:11,1228,1742038
2023-12-24 18:00:14,1228,1742038
2023-12-24 19:00:03,1228,1742038
2023-12-24 20:00:06,1228,1742038
2023-12-24 21:00:10,1228,1742038
2023-12-24 22:00:13,1228,1742038
2023-12-24 23:00:01,1228,1742038
2023-12-25 00:00:05,1228,1742038
2023-12-25 01:00:08,1228,1742038
2023-12-25 02:00:12,1228,1742038
2023-12-25 03:00:00,1228,1742038
2023-12-25 04:00:03,1228,1742038
2023-12-25 05:00:07,1228,1742038
2023-12-25 06:00:10,1228,1742038
2023-12-25 07:00:14,1228,1742038
2023-12-25 08:00:02,1228,1742038
2023-12-25 09:00:05,1228,1742038
2023-12-25 10:00:09,1228,1742038
2023-12-25 11:00:12,1228,1742038
2023-12-25 12:00:01,1228,1742038
2023-12-25 13:00:04,1228,1742038
2023-12-25 14:00:08,1228,1742038
2023-12-25 15:00:11,1228,1742038
2023-12-25 16:00:14,1228,1742038
2023-12-25 17:00:03,1228,1742038
2023-12-25 18:00:06,1228,1742038
2023-12-25 19:00:10,1228,1742038
2023-12-25 20:00:13,1228,1742038
2023-12-25 21:00:01,1228,1742038
2023-12-25 22:00:05,1228,1742038
2023-12-25 23:00:08,1228,1742038
2023-12-26 00:00:12,1228,1742038
2023-12-26 01:00:00,1228,1742038
2023-12-26 02:00:04,1228,1742038
2023-12-26 03:00:07,1228,1742038
2023-12-26 04:00:10,1228,1742038
2023-12-26 05:00:14,1228,1742038
2023-12-26 06:00:02,1228,1742038
2023-12-26 07:00:06,1228,1742038
2023-12-26 08:00:09,1228,1742038
2023-12-26 09:00:12,1228,1742038
2023-12-26 10:00:01,1228,1742505
2023-12-26 11:00:04,1228,1745095
2023-12-26 12:00:07,1228,1747767
2023-12-26 13:00:11,1228,1750495
2023-12-26 14:00:14,1228,1753755
2023-12-26 15:00:02,1228,1757313
2023-12-26 16:00:06,1228,1760271
2023-12-26 17:00:09,1228,1762631
2023-12-26 18:00:12,1228,1765306
2023-12-26 19:00:01,1228,1768549
2023-12-26 20:00:04,1228,1772204
2023-12-26 21:00:07,1228,1776454
2023-12-26 22:00:11,1228,1782878
2023-12-26 23:00:14,1228,1789852
2023-12-27 00:00:02,1228,1796716
2023-12-27 01:00:06,1228,1803526
2023-12-27 02:00:09,1228,1809966
