id,first_date
CIC-6eb44b62-932a-5f7a-aa3e-81fb5e69fd07,2022-12-28
CIC-408507b0-175c-53f1-aaf0-226831a0f8fd,2022-12-28
CIC-6b6b648b-8d5d-5ffd-96e7-d38a66797b7a,2022-12-28
CIC-362c3423-c321-5a7c-aca5-b49992e12e25,2022-12-28
CIC-c932e4f1-9bba-5a2c-bee2-b4e8b332166e,2022-12-28
CIC-6bf67895-5bfd-5569-89b8-4896ae9ad4c2,2022-12-28
CIC-ca66fd98-9d8a-5083-b0d7-fa0ed6e134db,2022-12-28
CIC-377be078-7d7c-55bc-b06b-834021effc71,2022-12-28
CIC-d3d6da02-fad4-5ab5-a7a8-6fc2f461eb88,2022-12-28
CIC-38566d33-027a-50ba-a4fb-33b5735715fd,2022-12-28
CIC-38979539-3655-561c-bb34-bb82f6e90974,2022-12-28
CIC-bc30d228-9012-5346-9245-281f217fe8ad,2022-12-28
CIC-b3e2e075-d495-5c23-9cec-288aae6ffc90,2022-12-28
CIC-9482c26f-47b8-58fa-9e01-911623b3a0e8,2022-12-28
CIC-97089b22-524d-5607-a574-30ed396172a9,2022-12-28
CIC-2805c53c-3c2f-56a5-8f1d-13bfcb463644,2022-12-28
CIC-74fbaa7a-aa25-5507-b0dc-0d85d0e220ea,2022-12-28
CIC-4d57edbe-7152-5d14-b77f-31cc8d240b0b,2022-12-28
CIC-4d34abb1-4e4e-592d-a520-1bd122d0cd5d,2022-12-28
CIC-4cc4ab83-1687-59ec-aa4c-2066e204d71e,2022-12-28
CIC-64ba38b3-4c61-5dd2-872e-bf34aa6b4b2a,2022-12-28
CIC-decf4fa7-1862-5fca-a0ba-228b5cd6a37a,2022-12-28
CIC-4841c2cb-bac3-51d6-b6b1-4884d5503fe3,2022-12-28
CIC-45b8b972-f112-53ea-ae19-90025a7c75bd,2022-12-28
CIC-2f086714-82aa-5f66-a329-dd821b8744cc,2022-12-28
CIC-bebe7062-95df-5753-90c4-b86c914efed1,2022-12-28
CIC-9a04465b-f989-57a0-b6ba-921aad9059ba,2022-12-28
CIC-7188db77-bbde-5eb9-88be-38f87cc0cf2f,2022-12-28
CIC-436a5f33-2b9f-51d6-9edb-82f0b18f060b,2022-12-28
CIC-712e47fc-b50b-526c-88ab-0ddfd8a4edcf,2022-12-28
CIC-6889b062-7916-5d9f-abcf-d31e0763e8b9,2022-12-28
CIC-1649e643-40f1-5cb9-a533-b6547e69aabb,2022-12-28
CIC-ff67dd59-4a79-5e06-8d22-115416e4be9b,2022-12-28
CIC-fb897db3-ffe0-5404-abe4-36ef85ffb931,2022-12-28
CIC-00ca4ee0-d7df-5bc1-b575-c90aa7ab3046,2022-12-28
CIC-0f2225c0-85ed-5c05-a3f5-ef020a33bb78,2022-12-28
CIC-8bd0a819-f97c-5a91-948b-5405f3c197c4,2022-12-28
CIC-8e49ba53-ecac-53d4-bbf5-4d5ba8e9f685,2022-12-28
CIC-f4a9ab20-6853-5db1-b4c8-1801c18e69e0,2022-12-28
CIC-0292af95-5e09-5b89-b3ce-8c337a43b3f2,2022-12-28
CIC-f8ba170b-0ffe-54e9-93b3-b242a6c5f4e5,2022-12-28
CIC-fa32e018-fbbd-57e7-8b1d-3082bd41e6de,2022-12-28
CIC-4438d20a-9200-53ea-a82d-064b3b990fce,2022-12-29
CIC-c0368b70-705f-53e5-910a-aa62dbec9050,2022-12-29
CIC-c10fb7af-49ce-552b-b8b4-39748d0aba7c,2022-12-29
CIC-8505a626-a6fa-5c16-942e-d1a3f11f1e82,2022-12-29
CIC-c0e2fc8d-226a-5cec-9996-a319795c9f41,2022-12-29
CIC-89563094-5849-599c-a5e7-6e97030c987d,2022-12-29
CIC-42e2d343-f9d2-5aa8-a8e6-b90168ae9caf,2022-12-29
CIC-dafd40e4-3375-5313-90dd-cc02be75d5a6,2022-12-29
CIC-96822683-87b5-55d5-bca3-88ac660839a2,2022-12-29
CIC-c1a8b88f-c864-5d89-a9a6-b9ce5c26b344,2022-12-29
CIC-8e09157c-685e-518b-b3d0-d735fd342b64,2022-12-29
CIC-c1d9ca86-e17d-5cc9-95f0-8621e3e3a488,2022-12-29
CIC-414d9b21-66b1-51f2-8b7d-f7d463f578f9,2022-12-29
CIC-a2093616-767b-5ea6-bba1-5560d9a3aff8,2022-12-29
CIC-7fc8de4b-1499-5377-984d-625a4661a0ab,2022-12-29
CIC-db89e2be-a517-524c-8373-9357feb721e1,2022-12-29
CIC-29c45666-c734-5958-a45d-678a7f561fb9,2022-12-29
CIC-a4e29c43-a2db-58d8-84f4-7bdf59278a8d,2022-12-29
CIC-621fa1f4-8446-5694-80a2-8f02d612eab0,2022-12-29
CIC-04133020-524a-58f9-b0fe-7a89374c4763,2022-12-29
CIC-b7424919-49eb-5985-865b-323c49f487a0,2022-12-29
CIC-62d3f8ae-5c4c-58f1-9abb-7b79d62b30e6,2022-12-29
CIC-91837ac8-c8de-5dad-9752-e8fdf0f6cfcc,2022-12-29
CIC-9194a7b4-a0c8-52c9-8430-0fe14b808a81,2022-12-29
CIC-b9a51ca5-ceb1-5d8a-817f-048476bbe0fe,2022-12-29
CIC-4b5e0037-89e4-5611-a236-e91ba62e9e43,2022-12-29
CIC-baabc822-6436-5122-90af-5138d6e74bb7,2022-12-29
CIC-64650ed4-60b8-5232-ac12-53d79378cb2d,2022-12-29
CIC-45aa2cb9-20a7-57af-90ef-97fa6efcb029,2022-12-29
CIC-e1338935-e445-5dc0-a6fa-40571604c2e2,2022-12-29
CIC-64f3689a-da49-5bbf-b4d1-09d90c0d107c,2022-12-29
CIC-e0c44c70-c894-5e20-883e-e214b0e18dd7,2022-12-29
CIC-2395976e-d43e-5e28-b6ce-b26674ad9a03,2022-12-29
CIC-fadc074a-9667-5f09-b5a2-d3fb8e11226e,2022-12-29
CIC-4650dd4c-5acb-5b81-810f-1b1ac929227d,2022-12-29
CIC-464d228b-b081-5277-93fe-a91bda908a46,2022-12-29
CIC-932d7589-a053-52a3-a74b-288c4f3f202d,2022-12-29
CIC-65e7040a-68e1-58c2-9ab2-afbd80865779,2022-12-29
CIC-be95403f-c3e9-5a6c-bcd8-6b45ce753268,2022-12-29
CIC-0cd6f9e1-9709-5045-a5dd-f9383bc8d999,2022-12-29
CIC-37c189d4-01c7-5616-a0e3-52876268c73f,2022-12-29
CIC-d5af52e6-56ac-5129-a4f4-a08c3a4cf528,2022-12-29
CIC-2e7b372a-ffc8-5792-a583-a53715962aaf,2022-12-29
